Day,totalDeaths,AdultsDeaths,ChildrenDeaths,total injured,adults injured,children injured,totalEvacuee,AdultsEvacuee,ChildrenEvacuee,ItalyTotalRefugees,ItalyAdultsRefugess,ItalyChildrenRefugees
2/24/2022,,,,,,,79034,,,,,
2/25/2022,,,,,,,115157,,,,,
2/26/2022,,,,,,,150472,,,,,
2/27/2022,102,95,7,304,283,21,171080,,,,,
2/28/2022,40,34,6,104,99,5,156771,,,,,
3/1/2022,85,83,2,117,115,2,197081,,,,,
3/2/2022,22,20,2,28,26,2,174753,,,,,
3/3/2022,82,80,2,122,121,1,165637,,,6608,4090,2518
3/4/2022,20,17,3,32,27,5,171979,,,9058,5525,3533
3/5/2022,33,30,3,52,47,5,193619,,,11323,6818,4505
3/6/2022,75,73,2,42,41,1,207942,,,14237,8511,5726
3/7/2022,15,13,2,60,58,2,209915,,,21095,12542,8553
3/8/2022,42,34,8,47,41,6,185184,,,23872,14155,9717
3/9/2022,33,29,4,49,47,2,174618,,,26738,15844,10894
3/10/2022,15,15,0,25,25,0,165891,,,31287,18611,12676
3/11/2022,15,14,1,20,18,2,151416,,,34851,20725,14126
3/12/2022,17,16,1,65,62,3,,,,37447,22300,15147
3/13/2022,40,37,3,58,53,5,,,,38539,22939,15600
3/14/2022,55,53,2,18,18,0,,,,44008,26150,17858
3/15/2022,35,31,4,31,30,1,,,,47153,28084,19069
3/16/2022,54,48,6,78,73,5,,,,50649,30171,20478
3/17/2022,36,35,1,81,75,6,,,,53669,32011,21658
3/18/2022,31,26,5,66,62,4,,,,55711,33313,22398
3/19/2022,55,44,11,60,40,20,,,,59589,35712,23877
3/20/2022,23,23,0,37,36,1,,,,61493,36902,24591
3/21/2022,28,25,3,61,55,6,,,,69154,41843,27311
3/22/2022,24,21,3,37,34,3,,,,70784,42907,27877
3/23/2022,58,49,9,56,46,10,,,,71940,43743,28197
3/24/2022,46,43,3,57,55,2,,,,73898,45027,28871
3/25/2022,23,20,3,47,43,4,,,,75115,45893,29222
3/26/2022,15,12,3,36,34,2,,,,76847,47052,29795
